Data Size,Data Generator,Sorter,Average Time (seconds)
10000,Random,HeapSorter,0.004033
10000,Random,MergeSorter,0.006053
10000,Random,CountingSorter,0.001796
10000,Reverse Sorted,HeapSorter,0.003556
10000,Reverse Sorted,MergeSorter,0.004953
10000,Reverse Sorted,CountingSorter,0.000188
10000,Partially Sorted (1 sorted),HeapSorter,0.003971
10000,Partially Sorted (1 sorted),MergeSorter,0.005722
10000,Partially Sorted (1 sorted),CountingSorter,0.002202
10000,Partially Sorted (2 sorted),HeapSorter,0.003947
10000,Partially Sorted (2 sorted),MergeSorter,0.005722
10000,Partially Sorted (2 sorted),CountingSorter,0.002124
10000,Partially Sorted (3 sorted),HeapSorter,0.003956
10000,Partially Sorted (3 sorted),MergeSorter,0.005699
10000,Partially Sorted (3 sorted),CountingSorter,0.002031
10000,Already Sorted,HeapSorter,0.003804
10000,Already Sorted,MergeSorter,0.004803
10000,Already Sorted,CountingSorter,0.000201
50000,Random,HeapSorter,0.023873
50000,Random,MergeSorter,0.032636
50000,Random,CountingSorter,0.003467
50000,Reverse Sorted,HeapSorter,0.022001
50000,Reverse Sorted,MergeSorter,0.027310
50000,Reverse Sorted,CountingSorter,0.001046
50000,Partially Sorted (1 sorted),HeapSorter,0.024057
50000,Partially Sorted (1 sorted),MergeSorter,0.032901
50000,Partially Sorted (1 sorted),CountingSorter,0.003372
50000,Partially Sorted (2 sorted),HeapSorter,0.024916
50000,Partially Sorted (2 sorted),MergeSorter,0.032397
50000,Partially Sorted (2 sorted),CountingSorter,0.003671
50000,Partially Sorted (3 sorted),HeapSorter,0.024231
50000,Partially Sorted (3 sorted),MergeSorter,0.033645
50000,Partially Sorted (3 sorted),CountingSorter,0.003618
50000,Already Sorted,HeapSorter,0.025425
50000,Already Sorted,MergeSorter,0.026370
50000,Already Sorted,CountingSorter,0.001051
100000,Random,HeapSorter,0.054137
100000,Random,MergeSorter,0.064757
100000,Random,CountingSorter,0.004901
100000,Reverse Sorted,HeapSorter,0.049780
100000,Reverse Sorted,MergeSorter,0.054596
100000,Reverse Sorted,CountingSorter,0.001927
100000,Partially Sorted (1 sorted),HeapSorter,0.051789
100000,Partially Sorted (1 sorted),MergeSorter,0.068816
100000,Partially Sorted (1 sorted),CountingSorter,0.005506
100000,Partially Sorted (2 sorted),HeapSorter,0.052437
100000,Partially Sorted (2 sorted),MergeSorter,0.065309
100000,Partially Sorted (2 sorted),CountingSorter,0.005092
100000,Partially Sorted (3 sorted),HeapSorter,0.052226
100000,Partially Sorted (3 sorted),MergeSorter,0.068675
100000,Partially Sorted (3 sorted),CountingSorter,0.004739
100000,Already Sorted,HeapSorter,0.051106
100000,Already Sorted,MergeSorter,0.055945
100000,Already Sorted,CountingSorter,0.002068
